,total,LMICs,LMICs_perc,HICs,Unknown,Avg BC,Avg DC,Avg CC
161,50,3,0.06,47,0,91977.19431709763,22.16,0.12063651724259804
162,16,1,0.0625,15,0,83190.73489134977,23.375,0.11650112335418293
163,25,2,0.08,23,0,239327.2364756813,20.6,0.1208547208093794
164,18,0,0.0,18,0,64965.579133049716,21.944444444444443,0.1150778467566541
165,23,0,0.0,23,0,115751.27179832238,25.391304347826086,0.12724554550462033
166,11,1,0.09090909090909091,10,0,104458.59036474298,17.818181818181817,0.11538052773831474
167,14,2,0.14285714285714285,12,0,128237.40794538552,32.714285714285715,0.13168177808736733
168,24,1,0.041666666666666664,23,0,207164.95049532232,22.583333333333332,0.13726289380675058
169,21,1,0.047619047619047616,20,0,5747.790316796944,14.333333333333334,0.08415605611108966
170,19,0,0.0,19,0,266579.2226692477,23.473684210526315,0.13409644056480516
171,23,5,0.21739130434782608,18,0,267262.77008722076,30.043478260869566,0.13399101007605335
172,27,1,0.037037037037037035,26,0,12303.183546074657,16.296296296296298,0.11601452603756136
173,18,0,0.0,18,0,23751.948504929354,22.61111111111111,0.14179740751344827
174,11,0,0.0,11,0,0.0,22.727272727272727,0.14584748281495202
175,19,2,0.10526315789473684,17,0,657.1248365592506,23.105263157894736,0.0912747002005782
